id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
85246,Ernestia confertiflora Wurdack,NA,Melastomataceae,species,accepted,Ernestia confertiflora,NA,,Ernestia confertiflora,Subarbusto,Terrícola,Floresta de Terra Firme|Floresta de Várzea|Vegetação Sobre Afloramentos Rochosos,Amazônia,Ernestia confertiflora
108808,Ernestia granvillei Wurdack,NA,Melastomataceae,species,accepted,Ernestia granvillei,NA,,Ernestia granvillei,Arbusto,Terrícola,Campinarana|Vegetação Sobre Afloramentos Rochosos,Amazônia,Ernestia granvillei
108809,Ernestia pullei Gleason,NA,Melastomataceae,species,accepted,Ernestia pullei,NA,,Ernestia pullei,Arbusto|Subarbusto,Terrícola,Campinarana|Savana Amazônica|Vegetação Sobre Afloramentos Rochosos,NA,Ernestia pullei
112028,Fritzschia anisostemon Cham.,NA,Melastomataceae,species,accepted,Fritzschia anisostemon,DD,,Fritzschia anisostemon,Erva,Terrícola,Campo rupestre,Cerrado,Fritzschia anisostemon
606642,"Fritzschia atropurpurea D.Nunes, M.J.R.Rocha & P.J.F.Guim.",NA,Melastomataceae,species,accepted,Fritzschia atropurpurea,NA,,Fritzschia atropurpurea,Erva,Terrícola,Campo rupestre,NA,Fritzschia atropurpurea
19636,Marcetia bahiana (Ule) A.B.Martins,NA,Melastomataceae,species,accepted,Marcetia bahiana,EN,replaced synonym,Fritzschia bahiana,Subarbusto,Rupícola,Campo rupestre|Cerrado (lato sensu),Caatinga,Marcetia bahiana
606335,"Fritzschia cordifolia R.Romero, D.Nunes & M.J.R.Rocha",NA,Melastomataceae,species,accepted,Fritzschia cordifolia,NA,,Fritzschia cordifolia,Arbusto,Terrícola,Campo rupestre,Cerrado,Fritzschia cordifolia
604555,Fritzschia edmundoi (Brade) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia edmundoi,EN,,Fritzschia edmundoi,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado,Fritzschia edmundoi
9468,Fritzschia erecta Cham.,NA,Melastomataceae,species,accepted,Fritzschia erecta,NA,,Fritzschia erecta,Erva,Terrícola,Campo Limpo|Campo rupestre,Cerrado,Fritzschia erecta
604556,Fritzschia furnensis R.Romero & M.J.R.Rocha,NA,Melastomataceae,species,accepted,Fritzschia furnensis,NA,,Fritzschia furnensis,Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu),Cerrado,Fritzschia furnensis
112025,Fritzschia integrifolia Cham.,NA,Melastomataceae,species,accepted,Fritzschia integrifolia,DD,,Fritzschia integrifolia,Erva,Terrícola,Campo rupestre,Cerrado,Fritzschia integrifolia
604557,Fritzschia lanceiflora (Mart. & Schrank ex DC.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia lanceiflora,NA,was misspelled,Fritzschia lanceaeflora,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia lanceiflora
604557,Fritzschia lanceiflora (Mart. & Schrank ex DC.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia lanceiflora,NA,,Fritzschia lanceiflora,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia lanceiflora
605048,"Fritzschia rupestris R.Pacifico, Almeda & D.Nunes",NA,Melastomataceae,species,accepted,Fritzschia rupestris,NA,,Fritzschia rupestris,Arbusto,Rupícola|Terrícola,Campo rupestre,Cerrado,Fritzschia rupestris
