datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2019-07-09 14:16:47-03"	F	FMNH-SEEDPLANTS	V0419943F	"Minaria ditassoides"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	ditassoides			"RRC ID Flag"					28267	28267	"H. S. Irwin"	1970	3	24			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419943F
"2019-07-09 14:15:58-03"	F	FMNH-SEEDPLANTS	V0419941F	"Minaria grazielae"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	grazielae			"RRC ID Flag"					753	753	"P. T. Sano"	1997	12	10			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419941F
"2019-07-09 14:16:14-03"	F	FMNH-SEEDPLANTS	V0419942F	"Minaria grazielae"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	grazielae			"RRC ID Flag"					3354	"CFCR 3354"	"A. Furlan"	1982	4	11			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419942F
"2019-07-09 14:16:47-03"	F	FMNH-SEEDPLANTS	V0419940F	"Minaria micromeria"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	micromeria			"RRC ID Flag"					25565	25565	"H. S. Irwin"	1970	1	29			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419940F
"2019-07-09 14:15:58-03"	F	FMNH-SEEDPLANTS	V0419939F	"Minaria parva"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	parva			"RRC ID Flag"					1483	1483	"R. C. Forzza"	2000	1	30			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419939F
"2019-07-09 14:15:58-03"	F	FMNH-SEEDPLANTS	V0419937F	"Minaria refractifolia"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	refractifolia			"RRC ID Flag"					35536	35536	"W. R. Anderson"	1972	2	5			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419937F
"2019-07-09 14:16:47-03"	F	FMNH-SEEDPLANTS	V0419938F	"Minaria refractifolia"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	refractifolia			"RRC ID Flag"					21897	21897	"H. S. Irwin"	1969	1	14			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419938F
"2019-10-09 11:09:02-03"	UFBA	ALCB	88800	"Minaria acerosa"	PreservedSpecimen	Plantae	Dicotyledon			Apocynaceae	Minaria	acerosa		"(Mart.) Konno & Rapini"	"Santos, RGP"	2016	12	02		14802		"Guedes, ML; Sanches, FG; Alunos de Botânica III"	2009	05	02			"Southern America"	Brasil	Bahia	Piatã	"Chapada Diamantina, Caminho para os Três morros. Ponto 04"	-41.894167	-13.08					1391	1391									"com látex leitoso. Flores com cálice verde, flores cremes."	ALCB035610
"2019-10-09 11:09:02-03"	UFBA	ALCB	96138	"Minaria acerosa"	PreservedSpecimen	Plantae	Dicotyledon			Apocynaceae	Minaria	acerosa		"(Mart.) Konno & Rapini"	"Cordeiro, J"	2010				3672		"Cordeiro, J; Cordeiro, J; Martin, L"	2009	11	24			"Southern America"	Brasil	Paraná	"Ponta Grossa"	"Fendas de Itaiacoca"	0	0	-50.1618995666504	-25.0949993133545	46557												"volúvel. Flor creme."	
"2019-10-09 11:09:02-03"	UFBA	ALCB	108410	"Minaria decussata"	PreservedSpecimen	Plantae	Dicotyledon			Apocynaceae	Minaria	decussata		"(Mart.) Konno & Rapini"	"Guedes, ML"	2014	08			434		"Hurbath, F; Ogasawara, HA; Borges, RL; Stadnik, A"	2013	01	21			"Southern America"	Brasil	Bahia	"Licínio de Almeida"	"Serra Geral. Riacho de areia. No topo do morro ao lado da estrada de terra."	-42.577222	-14.759167					1169	1169									"ca. 15 cm. Folhas discolores. Face abaxial glauca. Sépalas verdes. Pétalas alvas.; Campo rupestre."	
