"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
11681,"Habenaria leucosantha Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria leucosantha","LC","","Habenaria leucosantha","Erva","Terrícola","Campo de Altitude|Campo Limpo","Cerrado|Mata Atlântica"
20078,"Habenaria obtusa Lindl.",NA,"Orchidaceae","species","accepted","Habenaria obtusa",NA,"replaced synonym","Habenaria liguliglossa","Erva","Terrícola","Campo de Várzea|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Várzea|Palmeiral|Savana Amazônica|Vegetação Sobre Afloramentos Rochosos","Amazônia|Caatinga|Cerrado"
31923,"Habenaria schenckii Cogn.",NA,"Orchidaceae","species","accepted","Habenaria schenckii",NA,"replaced synonym","Habenaria lindmaniana","Erva","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Palmeiral","Amazônia|Caatinga|Cerrado"
20074,"Habenaria longicauda Hook.",NA,"Orchidaceae","species","accepted","Habenaria longicauda",NA,"","Habenaria longicauda","Erva","Terrícola","Campo de Várzea|Floresta Ciliar ou Galeria|Vegetação Aquática","Amazônia|Caatinga|Cerrado"
31907,"Habenaria longipedicellata Hoehne",NA,"Orchidaceae","species","accepted","Habenaria longipedicellata",NA,"","Habenaria longipedicellata","Erva","Terrícola","Área Antrópica|Campo de Várzea|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta de Terra Firme","Amazônia|Cerrado"
37667,"Habenaria ludibundiciliata J.A.N.Batista & Bianchetti",NA,"Orchidaceae","species","accepted","Habenaria ludibundiciliata",NA,"","Habenaria ludibundiciliata","Erva","Terrícola","Campo Limpo|Campo rupestre","Amazônia|Cerrado"
37669,"Habenaria macilenta (Lindl. ex Benth.) Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria macilenta",NA,"","Habenaria macilenta","Erva","Terrícola","Campo de Altitude|Campo Limpo|Campo rupestre","Amazônia|Cerrado|Mata Atlântica"
11682,"Habenaria macrodactyla Kraenzl.",NA,"Orchidaceae","species","accepted","Habenaria macrodactyla",NA,"","Habenaria macrodactyla","Erva","Terrícola",NA,"Mata Atlântica"
11683,"Habenaria macronectar (Vell.) Hoehne",NA,"Orchidaceae","species","accepted","Habenaria macronectar","LC","","Habenaria macronectar","Erva","Terrícola","Área Antrópica|Campo de Altitude|Campo Limpo|Campo rupestre|Floresta Estacional Semidecidual","Cerrado|Mata Atlântica"
11684,"Habenaria magdalenensis Hoehne",NA,"Orchidaceae","species","accepted","Habenaria magdalenensis",NA,"","Habenaria magdalenensis","Erva","Terrícola","Campo de Altitude|Campo rupestre","Mata Atlântica"
31909,"Habenaria magniscutata Catling",NA,"Orchidaceae","species","accepted","Habenaria magniscutata",NA,"","Habenaria magniscutata","Erva","Terrícola","Campo Limpo|Campo rupestre","Cerrado"
37686,"Habenaria spathulifera Cogn.",NA,"Orchidaceae","species","accepted","Habenaria spathulifera",NA,"replaced synonym","Habenaria mattogrossensis","Erva","Terrícola","Campo de Várzea|Campo Limpo|Cerrado (lato sensu)|Savana Amazônica","Amazônia|Caatinga|Cerrado"
20075,"Habenaria meeana Toscano",NA,"Orchidaceae","species","accepted","Habenaria meeana",NA,"","Habenaria meeana","Erva","Terrícola","Campo rupestre","Caatinga|Cerrado"
11686,"Habenaria melanopoda Hoehne & Schltr.",NA,"Orchidaceae","species","accepted","Habenaria melanopoda",NA,"","Habenaria melanopoda","Erva","Terrícola","Campo de Altitude|Campo Limpo|Campo rupestre","Cerrado|Mata Atlântica"
31911,"Habenaria mello-barretoi Brade & Pabst",NA,"Orchidaceae","species","accepted","Habenaria mello-barretoi",NA,"","Habenaria mello-barretoi","Erva","Terrícola","Campo rupestre","Cerrado"
11665,"Habenaria gourlieana Gill. ex Lindl.",NA,"Orchidaceae","species","accepted","Habenaria gourlieana","LC","replaced synonym","Habenaria melvillei","Erva","Terrícola","Campo Limpo|Floresta Ciliar ou Galeria","Amazônia|Cerrado|Mata Atlântica"
11665,"Habenaria gourlieana Gill. ex Lindl.",NA,"Orchidaceae","species","accepted","Habenaria gourlieana","LC","was misspelled|replaced synonym","Habenaria melvillii","Erva","Terrícola","Campo Limpo|Floresta Ciliar ou Galeria","Amazônia|Cerrado|Mata Atlântica"
31906,"Habenaria leprieuri Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria leprieuri",NA,"replaced synonym","Habenaria mesodactyla","Erva","Terrícola","Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga|Savana Amazônica","Amazônia|Cerrado"
11708,"Habenaria rupicola Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria rupicola",NA,"replaced synonym","Habenaria minarum","Erva","Terrícola","Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)","Amazônia|Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria minima",NA,NA,NA,NA
11674,"Habenaria inconspicua Cogn.",NA,"Orchidaceae","species","accepted","Habenaria inconspicua",NA,"replaced synonym","Habenaria minimiflora","Erva","Terrícola","Campo Limpo","Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria minuta",NA,NA,NA,NA
37688,"Habenaria subfiliformis Cogn.",NA,"Orchidaceae","species","accepted","Habenaria subfiliformis",NA,"replaced synonym","Habenaria mitomorpha","Erva","Terrícola","Campo Limpo","Amazônia|Cerrado|Mata Atlântica"
11688,"Habenaria modestissima Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria modestissima",NA,"","Habenaria modestissima","Erva","Terrícola","Restinga","Mata Atlântica"
31912,"Habenaria monorrhiza (Sw.) Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria monorrhiza",NA,"","Habenaria monorrhiza","Erva","Terrícola","Campo Limpo|Campo rupestre","Cerrado"
11689,"Habenaria montevidensis Spreng.",NA,"Orchidaceae","species","accepted","Habenaria montevidensis",NA,"","Habenaria montevidensis","Erva","Terrícola","Campo de Altitude|Campo Limpo","Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria montevidensis parviflora",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria montevidensis reichenbachiana",NA,NA,NA,NA
31913,"Habenaria montis-wilhelminae Renz",NA,"Orchidaceae","species","accepted","Habenaria montis-wilhelminae",NA,"","Habenaria montis-wilhelminae","Erva","Terrícola","Campo Limpo|Cerrado (lato sensu)","Cerrado"
20076,"Habenaria mystacina Lindl.",NA,"Orchidaceae","species","accepted","Habenaria mystacina",NA,"","Habenaria mystacina","Erva","Terrícola","Campo Limpo|Campo rupestre","Caatinga|Cerrado"
11694,"Habenaria parviflora Lindl.",NA,"Orchidaceae","species","accepted","Habenaria parviflora",NA,"replaced synonym","Habenaria nana","Erva","Terrícola","Área Antrópica|Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Caatinga|Cerrado|Mata Atlântica"
31915,"Habenaria nuda Lindl. var. nuda",NA,"Orchidaceae","variety","accepted","Habenaria nuda var. nuda",NA,"replaced synonym","Habenaria nasuta","Erva","Terrícola","Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria","Amazônia|Caatinga|Cerrado|Mata Atlântica"
37673,"Habenaria nemorosa Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria nemorosa",NA,"","Habenaria nemorosa","Erva","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","Cerrado|Mata Atlântica"
11646,"Habenaria balansae Cogn.",NA,"Orchidaceae","species","accepted","Habenaria balansae",NA,"replaced synonym","Habenaria nigripes","Erva","Terrícola","Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria|Palmeiral","Cerrado|Mata Atlântica"
11692,"Habenaria nuda Lindl.",NA,"Orchidaceae","species","accepted","Habenaria nuda","LC","","Habenaria nuda","Erva","Terrícola","Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria","Amazônia|Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria nuda nuda",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria nuda pygmaea",NA,NA,NA,NA
