"taxa","suggested"
"Vellozia nuda","Vellozia nuda"
"Vellozia obtecta","Vellozia obtecta"
"Vellozia ornata","Vellozia ornata"
"Vellozia patens","Vellozia patens"
"Vellozia peresiana","Vellozia piresiana"
"Vellozia peripherica","Vellozia peripherica"
"Vellozia phalocarpa","Vellozia phalocarpa"
"Vellozia pilosa","Vellozia pilosa"
"Vellozia piresiana","Vellozia piresiana"
"Vellozia plicata","Vellozia plicata"
"Vellozia prolifera","Vellozia prolifera"
"Vellozia pterocarpa","Vellozia pterocarpa"
"Vellozia pulchra","Vellozia pulchra"
"Vellozia pumila","Vellozia pumila"
"Vellozia punctata","Vellozia punctulata"
"Vellozia punctulata","Vellozia punctulata"
"Vellozia pusila","Vellozia pusilla"
"Vellozia pusilla","Vellozia pusilla"
"Vellozia ramosissima","Vellozia ramosissima"
"Vellozia religiosa","Vellozia religiosa"
"Vellozia resinosa","Vellozia resinosa"
"Vellozia scabrosa","Vellozia scabrosa"
"Vellozia scoparia","Vellozia scoparia"
"Vellozia sellovii","Vellozia sellowii"
"Vellozia sellowii","Vellozia sellowii"
"Vellozia semirii","Vellozia semirii"
"Vellozia sessilis","Vellozia sessilis"
"Vellozia seubertiana","Vellozia seubertiana"
"Vellozia sincorana","Vellozia sincorana"
"Vellozia spiralis","Vellozia spiralis"
"Vellozia squalida","Vellozia squalida"
"Vellozia squamata","Vellozia squamata"
"Vellozia stellata","Vellozia stellata"
"Vellozia stenocarpa","Vellozia stenocarpa"
"Vellozia stipitata","Vellozia stipitata"
"Vellozia stiptata","Vellozia stipitata"
"Vellozia strangii","Vellozia strangii"
"Vellozia streptophylla","Vellozia streptophylla"
"Vellozia subalata","Vellozia subalata"
"Vellozia subscabra","Vellozia subscabra"
"Vellozia swallenii","Vellozia swallenii"
"Vellozia sypus","Vellozia dasypus"
"Vellozia taxifolia","Vellozia taxifolia"
"Vellozia tenella","Vellozia tenella"
"Vellozia teres","Vellozia teres"
"Vellozia tillandsioides","Vellozia tillandsioides"
"Vellozia tomeana","Vellozia tomeana"
"Vellozia tomentosa","Vellozia tomentosa"
