taxa,suggested,corrected,srcs
Vellozia marcescens,Vellozia marcescens,Vellozia marcescens ,The Plant List
Vellozia marcescens var. minor,Vellozia marcescens var. minor,Vellozia marcescens ,The Plant List
Vellozia markgrafii,Vellozia markgrafii,Vellozia hirsuta,The Plant List
Vellozia martiana,Vellozia martiana,Vellozia compacta,The Plant List
Vellozia maxillarioides,Vellozia maxillarioides,Vellozia maxillarioides,The Plant List
Vellozia metzgerae,Vellozia metzgerae,Vellozia metzgerae,The Plant List
Vellozia metzgeriae,Vellozia metzgerae,Vellozia metzgerae,The Plant List
Vellozia minima,Vellozia minima,Vellozia minima,The Plant List
Vellozia modesta longior,NA,?,
Vellozia modesta,Vellozia modesta,Vellozia resinosa,Flora do Brasil 2020
Vellozia molle,Vellozia mollis,Vellozia glandulifera,Flora do Brasil 2020
Vellozia nanuzae,Vellozia nanuzae,Vellozia nanuzae,The Plant List
Vellozia nivea,Vellozia nivea,Vellozia nivea,The Plant List
Vellozia nuda,Vellozia nuda,Vellozia nuda,The Plant List
Vellozia obtecta,Vellozia obtecta,Vellozia obtecta,The Plant List
Vellozia ornata,Vellozia ornata,Vellozia ornata,The Plant List
Vellozia patens,Vellozia patens,Vellozia patens,The Plant List
Vellozia peresiana,Vellozia piresiana,Vellozia piresiana,The Plant List
Vellozia peripherica,Vellozia peripherica,Vellozia peripherica,The Plant List
Vellozia phalocarpa,Vellozia phalocarpa,Vellozia glabra,The Plant List
Vellozia pilosa,Vellozia pilosa,Vellozia pilosa,The Plant List
Vellozia piresiana,Vellozia piresiana,Vellozia piresiana,The Plant List
Vellozia plicata,Vellozia plicata,Vellozia plicata,Flora do Brasil 2020
Vellozia prolifera,Vellozia prolifera,Vellozia prolifera,Flora do Brasil 2020
Vellozia pterocarpa,Vellozia pterocarpa,Vellozia pterocarpa,Flora do Brasil 2020
Vellozia pulchra,Vellozia pulchra,Vellozia pulchra,Flora do Brasil 2020
Vellozia pumila,Vellozia pumila,Vellozia pumila,Flora do Brasil 2020
Vellozia punctata,Vellozia punctulata,Vellozia punctulata,Flora do Brasil 2020
Vellozia punctulata,Vellozia punctulata,Vellozia punctulata,Flora do Brasil 2020
Vellozia pusila,Vellozia pusilla,Vellozia pusilla,Flora do Brasil 2020
Vellozia pusilla,Vellozia pusilla,Vellozia pusilla,Flora do Brasil 2020
Vellozia ramosissima,Vellozia ramosissima,Vellozia ramosissima,Flora do Brasil 2020
Vellozia religiosa,Vellozia religiosa,Vellozia religiosa,Flora do Brasil 2020
Vellozia resinosa,Vellozia resinosa,Vellozia resinosa,Flora do Brasil 2020
Vellozia scabrosa,Vellozia scabrosa,Vellozia scabrosa,Flora do Brasil 2020
Vellozia scoparia,Vellozia scoparia,Vellozia minima,Flora do Brasil 2020
Vellozia sellovii,Vellozia sellowii,Vellozia sellowii,Flora do Brasil 2020
Vellozia sellowii,Vellozia sellowii,Vellozia sellowii,Flora do Brasil 2020
Vellozia semirii,Vellozia semirii,Vellozia semirii,Flora do Brasil 2020
Vellozia sessilis,Vellozia sessilis,Vellozia semirii,Flora do Brasil 2020
Vellozia seubertiana,Vellozia seubertiana,Vellozia seubertiana,Flora do Brasil 2020
Vellozia sincorana,Vellozia sincorana,Vellozia sincorana,Flora do Brasil 2020
Vellozia spiralis,Vellozia spiralis,Vellozia spiralis,Flora do Brasil 2020
Vellozia squalida,Vellozia squalida,Vellozia squalida,Flora do Brasil 2020
Vellozia squamata,Vellozia squamata,Vellozia squamata,Flora do Brasil 2020
Vellozia stellata,Vellozia stellata,Vellozia stellata,Flora do Brasil 2020
Vellozia stenocarpa,Vellozia stenocarpa,Vellozia stenocarpa,Flora do Brasil 2020
Vellozia stipitata,Vellozia stipitata,Vellozia stipitata,Flora do Brasil 2020
Vellozia stiptata,Vellozia stipitata,Vellozia stipitata,Flora do Brasil 2020
Vellozia strangii,Vellozia strangii,Vellozia strangii,Flora do Brasil 2020
Vellozia streptophylla,Vellozia streptophylla,Vellozia streptophylla,Flora do Brasil 2020
Vellozia subalata,Vellozia subalata,Vellozia subalata,Flora do Brasil 2020
Vellozia subscabra,Vellozia subscabra,Vellozia subscabra,Flora do Brasil 2020
Vellozia swallenii,Vellozia swallenii,Vellozia swallenii,Flora do Brasil 2020
Vellozia sypus,Vellozia dasypus,Vellozia dasypus,Flora do Brasil 2020
Vellozia taxifolia,Vellozia taxifolia,Vellozia taxifolia,Flora do Brasil 2020
Vellozia tenella,Vellozia tenella,Vellozia tenella,Flora do Brasil 2020
Vellozia teres,Vellozia teres,Vellozia teres,Flora do Brasil 2020
Vellozia tillandsioides,Vellozia tillandsioides,Vellozia tillandsioides,Flora do Brasil 2020
Vellozia tomeana,Vellozia tomeana,Vellozia tomeana,Flora do Brasil 2020
Vellozia tomentosa,Vellozia tomentosa,Vellozia tomentosa,Flora do Brasil 2020
Vellozia torquata,Vellozia torquata,Vellozia torquata,Flora do Brasil 2020
Vellozia tragacantha,Vellozia tragacantha,Vellozia tragacantha,Flora do Brasil 2020
Vellozia tubiflora,Vellozia tubiflora,Vellozia tubiflora,Flora do Brasil 2020
Vellozia undesignated,NA,?,
Vellozia variabilis,Vellozia variabilis,Vellozia variabilis,Flora do Brasil 2020
Vellozia variegata,Vellozia variegata,Vellozia variegata,Flora do Brasil 2020
Vellozia verruculosa,Vellozia verruculosa,Vellozia variabilis,Flora do Brasil 2020
Vellozia virgata,Vellozia virgata,Vellozia sellowii,Flora do Brasil 2020
Vellozia warcescens,Vellozia marcescens,Vellozia marcescens,Flora do Brasil 2020
Vellozia wasshausenii,Vellozia wasshausenii,Vellozia wasshausenii,Flora do Brasil 2020
Xerophyta giuliettiae,NA,?,
Xerophyta minima,Xerophyta minima,Vellozia minima,Flora do Brasil 2020
Xerophyta scoparia,NA,?,
Xerophyta sellovii,Xerophyta sellowii,Vellozia sellowii,Flora do Brasil 2020
Xerophyta sellowii,Xerophyta sellowii,Vellozia sellowii,Flora do Brasil 2020
Xerophyta tomentosa,NA,Xerophyta spekei,The Plant List
Xerophyta tragacantha,Xerophyta tragacantha,Vellozia tragacantha,Flora do Brasil 2020
Xerophyta velutina,Xerophyta abietina,Xerophyta velutina,The Plant List
