gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1252648934	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630632.jpg	http://specimens.kew.org/herbarium/K001066959									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648933	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630639.jpg	http://specimens.kew.org/herbarium/K001066966									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648932	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619087.jpg	http://specimens.kew.org/herbarium/K001066906									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648931	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630640.jpg	http://specimens.kew.org/herbarium/K001066967									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648930	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619096.jpg	http://specimens.kew.org/herbarium/K001066915									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648929	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630622.jpg	http://specimens.kew.org/herbarium/K001066949									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648928	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630603.jpg	http://specimens.kew.org/herbarium/K001066932									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648926	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619083.jpg	http://specimens.kew.org/herbarium/K001066902									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648925	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619094.jpg	http://specimens.kew.org/herbarium/K001066913									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648924	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630597.jpg	http://specimens.kew.org/herbarium/K001066924									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648923	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630610.jpg	http://specimens.kew.org/herbarium/K001066939									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648922	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619054.jpg	http://specimens.kew.org/herbarium/K001066873									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648920	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630596.jpg	http://specimens.kew.org/herbarium/K001066923									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648919	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630595.jpg	http://specimens.kew.org/herbarium/K001066922									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648918	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630608.jpg	http://specimens.kew.org/herbarium/K001066937									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648917	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619085.jpg	http://specimens.kew.org/herbarium/K001066904									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648916	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619061.jpg	http://specimens.kew.org/herbarium/K001066880									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648915	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619075.jpg	http://specimens.kew.org/herbarium/K001066894									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648914	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619089.jpg	http://specimens.kew.org/herbarium/K001066908									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648913	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619088.jpg	http://specimens.kew.org/herbarium/K001066907									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648912	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630607.jpg	http://specimens.kew.org/herbarium/K001066936									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648911	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630619.jpg	http://specimens.kew.org/herbarium/K001066946									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648910	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630612.jpg	http://specimens.kew.org/herbarium/K001066941									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648909	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619057.jpg	http://specimens.kew.org/herbarium/K001066876									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648908	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619058.jpg	http://specimens.kew.org/herbarium/K001066877									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648906	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619069.jpg	http://specimens.kew.org/herbarium/K001066888									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648905	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619091.jpg	http://specimens.kew.org/herbarium/K001066910									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648904	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630637.jpg	http://specimens.kew.org/herbarium/K001066964									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
