datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-09-23 10:58:31-03"	G	G	G00020270	"Diplusodon quintuplinervius"	S	Plantae				Lythraceae	Diplusodon	quintuplinervius		"(Nees) Koehne"	"Cavalcanti, T. B."	2002	01	01		67251		"Hatschbach, G. G., M. M. Hatschbach & E. Barbosa"	1997	11	18			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site"	G00020270
"2014-09-23 10:58:31-03"	G	G	G00227343	"Diplusodon sessiliflorus"	S	Plantae				Lythraceae	Diplusodon	sessiliflorus		Koehne	?				"TYPUS of Diplusodon sessiliflorus Koehne"	4573		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206024&base=img&lang=en"	G00227343
"2014-09-23 10:58:31-03"	G	G	G00227344	"Diplusodon sessiliflorus"	S	Plantae				Lythraceae	Diplusodon	sessiliflorus		Koehne	?				"TYPUS of Diplusodon sessiliflorus Koehne"	4573		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206025&base=img&lang=en"	G00227344
"2014-09-23 10:58:31-03"	G	G	G00227345	"Diplusodon sessiliflorus"	S	Plantae				Lythraceae	Diplusodon	sessiliflorus		Koehne	?				"TYPUS of Diplusodon sessiliflorus Koehne"	4573		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206026&base=img&lang=en"	G00227345
"2014-09-23 10:58:31-03"	G	G	G00227346	"Diplusodon sessiliflorus"	S	Plantae				Lythraceae	Diplusodon	sessiliflorus		Koehne	"Cavalcanti, T. B."	1999	01	01	"ISOTYPUS of Diplusodon crulsianus Koehne"	21415		"Glaziou, A. F. M."						"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206030&base=img&lang=en"	G00227346
"2014-09-23 10:58:31-03"	G	G	G00227347	"Diplusodon sessiliflorus"	S	Plantae				Lythraceae	Diplusodon	sessiliflorus		Koehne	"Cavalcanti, T. B."	1999	01	01	"ISOTYPUS of Diplusodon crulsianus Koehne"	21415		"Glaziou, A. F. M."						"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206031&base=img&lang=en"	G00227347
"2014-09-23 10:58:31-03"	G	G	G00227380	"Diplusodon thymifolius"	S	Plantae				Lythraceae	Diplusodon	thymifolius		DC.	?				"TYPUS of Diplusodon thymifolius var. [beta] Koehne"	4136		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206414&base=img&lang=en"	G00227380
"2014-09-23 10:58:31-03"	G	G	G00227381	"Diplusodon thymifolius"	S	Plantae				Lythraceae	Diplusodon	thymifolius		DC.	?				"TYPUS of Diplusodon thymifolius var. [beta] Koehne"	4136		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206416&base=img&lang=en"	G00227381
"2014-09-23 10:58:31-03"	G	G	G00227382	"Diplusodon thymifolius"	S	Plantae				Lythraceae	Diplusodon	thymifolius		DC.	?				"TYPUS of Diplusodon thymifolius var. [gamma] Koehne"	4139		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206417&base=img&lang=en"	G00227382
"2014-09-23 10:58:31-03"	G	G	G00227392	"Diplusodon thymifolius"	S	Plantae				Lythraceae	Diplusodon	thymifolius		DC.	?				"TYPUS of Diplusodon thymifolius var. [gamma] Koehne"	4139		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206420&base=img&lang=en"	G00227392
