taxa,suggested,corrected,srcs
Minasia lewinsonii,Minasia lewinsohnii,Minasia lewinsohnii,The Plant List
Minasia pereirae,Minasia pereirae,Minasia pereirae,The Plant List
Minasia ramosa,Minasia ramosa,Minasia ramosa,Flora do Brasil
Minasia scapigera,Minasia scapigera,Minasia scapigera,The Plant List
Minasia spelettiae,Minasia splettiae,Minasia splettiae,The Plant List
Minasia splettiae,Minasia splettiae,Minasia splettiae,The Plant List
Paralychnophora atkinsiae,Paralychnophora atkinsiae,Paralychnophora atkinsiae,The Plant List
Paralychnophora bicolor,Paralychnophora bicolor,Paralychnophora bicolor,Flora do Brasil
Paralychnophora glaziouana,Paralychnophora glaziouana,Paralychnophora glaziouana,Flora do Brasil
Paralychnophora glaziovana,Paralychnophora glaziouana,Paralychnophora glaziouana,Flora do Brasil
Paralychnophora glazioviana,Paralychnophora glaziouana,Paralychnophora glaziouana,Flora do Brasil
Paralychnophora harleyi,Paralychnophora harleyi,Paralychnophora harleyi,The Plant List
Paralychnophora patriciana,Paralychnophora patriciana,Paralychnophora patriciana,The Plant List
Paralychnophora reflexoauriculata,Paralychnophora reflexoauriculata,Paralychnophora reflexoauriculata,Flora do Brasil
Paralychnophora reflexo-auriculatus,Paralychnophora reflexoauriculata,Paralychnophora reflexoauriculata,Flora do Brasil
Paralychnophora santosii,Paralychnophora santosii,Paralychnophora santosii,The Plant List
Paralychnophora schwackei,Paralychnophora harleyi,Paralychnophora bicolor,Flora do Brasil
Piptolepis brexoides,Piptolepis buxoides,Piptolepis buxoides,The Plant List
Piptolepis buxoides,Piptolepis buxoides,Piptolepis buxoides,The Plant List
Piptolepis campestris,Piptolepis campestris,Piptolepis campestris,Flora do Brasil
Piptolepis ericoides,Piptolepis ericoides,Piptolepis ericoides,Flora do Brasil
Piptolepis gardneri,Piptolepis gardneri,Piptolepis gardneri,The Plant List
Piptolepis glaziouana,Piptolepis glaziouana,Piptolepis glaziouana,The Plant List
Piptolepis imbricata,Piptolepis imbricata,Piptolepis imbricata,The Plant List
Piptolepis leptospermoides,Piptolepis leptospermoides,Piptolepis leptospermoides,The Plant List
Piptolepis martiana,Piptolepis martiana,Piptolepis martiana,The Plant List
Piptolepis monticola,Piptolepis monticola,Piptolepis monticola,Flora do Brasil
Piptolepis oleaster,Piptolepis oleaster,Piptolepis oleaster,The Plant List
Piptolepis pabstii,NA,Piptolepis pabstii,Flora do Brasil
Piptolepis pseudomyrtus,Piptolepis pseudomyrtus,Piptolepis monticola,Flora do Brasil
Piptolepis schultziana,Piptolepis schultziana,Piptolepis schultziana,Flora do Brasil
Pithecoseris pacourinioides,Pithecoseris pacourinoides,Pithecoseris pacourinoides,The Plant List
Pithecoseris pacourinoides,Pithecoseris pacourinoides,Pithecoseris pacourinoides,The Plant List
Proteopsis argenta,Proteopsis argentea,Proteopsis argentea,The Plant List
Proteopsis argentea,Proteopsis argentea,Proteopsis argentea,The Plant List
Proteopsis hermogenesii,NA,Proteopsis hermogenesii,Flora do Brasil
Rolandra argentea,Rolandra argentea,Rolandra fruticosa,The Plant List
Rolandra fruticosa,Rolandra fruticosa,Rolandra fruticosa,The Plant List
Soaresia velutina,Soaresia velutina,Soaresia velutina,The Plant List
Telmatophila scolymastrum,Telmatophila scolymastrum,Telmatophila scolymastrum,The Plant List
Vanillosmopsis arborea,Vanillosmopsis arborea,Eremanthus arboreus,The Plant List
Vanillosmopsis brasiliensis (garolu) shult bip.,NA,Eremanthus brasiliensis,The Plant List
Vanillosmopsis brasiliensis,Vanillosmopsis brasiliensis,Eremanthus brasiliensis,The Plant List
Vanillosmopsis capitata,Vanillosmopsis capitata,Eremanthus capitatus,The Plant List
Vanillosmopsis discolor,Vanillosmopsis discolor,Eremanthus capitatus,The Plant List
Vanillosmopsis erythropappa,Vanillosmopsis erythropappa,Eremanthus erythropappus,The Plant List
Vanillosmopsis erythropappus,Vanillosmopsis erythropappa,Eremanthus erythropappus,The Plant List
Vanillosmopsis polycephala,Vanillosmopsis polycephala,Eremanthus polycephalus,The Plant List
Vinicia tomentosa,Vinicia tomentosa,Vinicia tomentosa,The Plant List
