country,major area,minor area,centroid (lat),centroid (long),distance (km)
Argentina,Corrientes,Berón de Astrada,-27.46781518,-57.63253588,30.1095142523
Argentina,Corrientes,Capital,-27.52011714,-58.76231452,17.6788085714
Argentina,Corrientes,Concepción,-28.39588804,-58.02961079,62.8168763415
Argentina,Corrientes,Curuzú Cuatiá,-29.70288088,-58.33339507,82.7714317369
Argentina,Corrientes,Empedrado,-27.89699789,-58.67091531,48.9314233609
Argentina,Corrientes,Esquina,-29.98569542,-59.24388569,63.6633883711
Argentina,Corrientes,General Alvear,-28.7789863,-56.52708295,39.9539039657
Argentina,Corrientes,General Paz,-27.70284228,-57.77853618,61.0958460396
Argentina,Corrientes,Goya,-29.45585849,-59.2631069,69.2093548695
Argentina,Corrientes,Itatí,-27.33900315,-58.07995629,32.3979021201
Argentina,Corrientes,Ituzaingó,-27.91195994,-56.79783193,111.0907605696
Argentina,Corrientes,Lavalle,-28.99134794,-58.93564333,32.7145595026
Argentina,Corrientes,Mburucuyá,-28.00878011,-58.17369329,25.5306367595
Argentina,Corrientes,Mercedes,-29.06326073,-57.82815278,85.0158998429
Argentina,Corrientes,Monte Caseros,-30.23748902,-57.87437484,58.5603897986
Argentina,Corrientes,Paso de los Libres,-29.60005174,-57.31141346,72.3497659585
Argentina,Corrientes,Saladas,-28.20751912,-58.60328764,40.6227024097
Argentina,Corrientes,San Cosme,-27.37493137,-58.51164648,20.8781427123
Argentina,Corrientes,San Luis del Palmar,-27.59678603,-58.27052872,45.3919706461
Argentina,Corrientes,San Martín,-28.82689346,-56.9445486,70.399209735
Argentina,Corrientes,San Miguel,-27.87257161,-57.42363113,61.6118693391
Argentina,Corrientes,San Roque,-28.70705422,-58.60482159,48.5821214127
Argentina,Corrientes,Santo Tomé,-28.22802332,-56.23443227,75.0171007845
Argentina,Corrientes,Sauce,-30.0072387,-58.80208562,45.1742025726
Argentina,Entre Ríos,Colón,-31.94748296,-58.38810018,51.3184880618
Argentina,Entre Ríos,Concordia,-31.29586327,-58.24382914,53.9222080061
Argentina,Entre Ríos,Diamante,-32.22872474,-60.53387789,52.4476830352
Argentina,Entre Ríos,Federación,-30.72097514,-58.15717531,59.2836681901
Argentina,Entre Ríos,Federal,-30.97055949,-58.88846845,51.1107734415
Argentina,Entre Ríos,Feliciano,-30.40135192,-58.71640997,46.7089547123
Argentina,Entre Ríos,Gualeguaychú,-33.00504735,-58.79507468,60.6895730643
Argentina,Entre Ríos,Gualeguay,-33.10397721,-59.6082758,86.7025573208
Argentina,Entre Ríos,Isla,-33.09277577,-58.26125981,1.8481201723
Argentina,Entre Ríos,Islas del Ibicuy,-33.60889252,-58.97542512,71.5377631698
Argentina,Entre Ríos,La Paz,-30.87915375,-59.49235629,74.4022877051
Argentina,Entre Ríos,Nogoyá,-32.2022466,-59.78141676,54.4258297963
Argentina,Entre Ríos,Paraná,-31.68840481,-60.05164704,59.4320305817
Argentina,Entre Ríos,Tala,-32.30929431,-59.27925738,46.3713842697
Argentina,Entre Ríos,Uruguay,-32.43938027,-58.58695087,78.1410292012
Argentina,Entre Ríos,Victoria,-32.77054719,-60.22478759,64.9494804523
Argentina,Entre Ríos,Villaguay,-31.61907588,-59.027642,67.5750155149
Argentina,Formosa,Bermejo,-24.03003313,-61.28467217,117.64799486
Argentina,Formosa,Formosa,-25.93979429,-58.37604191,61.3459966764
Argentina,Formosa,Laishi,-26.46395589,-58.56359812,51.3180752142
Argentina,Formosa,Matacos,-23.85538461,-62.07926481,56.8579360965
Argentina,Formosa,Patiño,-24.87822433,-59.95837598,144.2926511595
Argentina,Formosa,Pilagás,-25.10501348,-58.66122993,49.2362820973
Argentina,Formosa,Pilcomayo,-25.37124791,-58.05816969,59.7294362339
Argentina,Formosa,Pirané,-25.76535907,-59.15893407,71.0905041251
Argentina,Formosa,Ramón Lista,-23.12049661,-62.14059578,76.1930482959
Argentina,Jujuy,Capital,-24.0922419,-65.42112602,36.4478516407
Argentina,Jujuy,Cochinoca,-22.99926205,-65.93039819,77.1517396467
Argentina,Jujuy,El Carmen,-24.45369148,-65.08233094,28.0322306645
Argentina,Jujuy,Humahuaca,-23.09232824,-65.38157781,55.4837374287
Argentina,Jujuy,Ledesma,-23.78345236,-64.80364556,44.1008276716
Argentina,Jujuy,Palpalá,-24.20706651,-65.1245162,21.9688374638
Argentina,Jujuy,Rinconada,-22.62762034,-66.503599,75.1866064372
Argentina,Jujuy,San Antonio,-24.34447446,-65.42432756,30.9130630045
Argentina,Jujuy,San Pedro,-24.29605864,-64.809184,39.2830600235
Argentina,Jujuy,Santa Bárbara,-24.00988325,-64.40581278,60.7095243292
Argentina,Jujuy,Santa Catalina,-22.12870972,-66.22464017,61.3598631745
Argentina,Jujuy,Susques,-23.54714659,-66.69770398,76.8495434141
Argentina,Jujuy,Tilcara,-23.56082505,-65.3073326,40.9070662634
Argentina,Jujuy,Tumbaya,-23.76588143,-65.67251477,48.301551711
Argentina,Jujuy,Valle Grande,-23.49140878,-65.00470242,28.2941584522
Argentina,Jujuy,Yavi,-22.2963196,-65.56616826,45.6936076193
Argentina,La Pampa,Atreucó,-37.04040884,-63.77865087,42.7475195319
Argentina,La Pampa,Caleu Caleu,-38.67561868,-63.89204079,83.6681311957
Argentina,La Pampa,Capital,-36.50450711,-64.1894998,40.9148882306
Argentina,La Pampa,Catriló,-36.58865678,-63.66353129,34.9454072083
Argentina,La Pampa,Chalileo,-36.39546796,-66.55667563,66.8134607648
Argentina,La Pampa,Chapaleufú,-35.22933664,-63.66464421,35.7270505812
