,tip_labels,std_labels,corrected_labels,var_supressed
116,M._albida_albida_CEH2083,Mimosa albida albida,Mimosa albida,Mimosa albida
117,M._nuda_nuda_CEH2396,Mimosa nuda nuda,Mimosa nuda ,Mimosa nuda 
118,M._debilis_debilis_CEH2393,Mimosa debilis debilis,Mimosa debilis debilis,Mimosa debilis 
119,M._tequilana_MFS813,Mimosa tequilana,Mimosa tequilana,Mimosa tequilana
120,M._goldmanii_AMB921,Mimosa goldmanii,Mimosa goldmanii,Mimosa goldmanii
121,M._acapulcensis_ROR2,Mimosa acapulcensis,Mimosa acapulcensis,Mimosa acapulcensis
122,M._tricephala_nelsonii_AMB920,Mimosa tricephala nelsonii,Mimosa tricephala nelsonii,Mimosa tricephala 
123,M._deamii_AMB919,Mimosa deamii,Mimosa deamii,Mimosa deamii
124,M._sicyocarpa_JC4936,Mimosa sicyocarpa,Mimosa sicyocarpa,Mimosa sicyocarpa
125,M._sousae_AMB918,Mimosa sousae,Mimosa sousae,Mimosa sousae
126,M._psilocarpa_AMB933,Mimosa psilocarpa,Mimosa psilocarpa,Mimosa psilocarpa
127,M._lactiflua_CEH2079,Mimosa lactiflua,Mimosa lactiflua,Mimosa lactiflua
128,M._woodii_CEH2285,Mimosa woodii,Mimosa woodii,Mimosa woodii
129,M._boliviana_CEH2426,Mimosa boliviana,Mimosa boliviana,Mimosa boliviana
