taxa,suggested,corrected,obs
Mimosa dolens eriophylla,Mimosa dolens subsp. eriophylla,Mimosa dolens subsp. eriophylla,
Mimosa dolens foliolosa,Mimosa dolens var. foliolosa,Mimosa dolens var. foliolosa,
Mimosa dolens latifolia,Mimosa dolens var. latifolia,Mimosa dolens var. latifolia,
Mimosa dolens,Mimosa dolens,Mimosa dolens,
Mimosa dolens pangloea,Mimosa dolens var. pangloea,Mimosa dolens var. pangloea,
Mimosa dolens rigescens,Mimosa dolens var. rigescens,Mimosa dolens var. rigescens,
Mimosa dolens rigida,Mimosa dolens var. rigida,Mimosa dolens var. rigida,
Mimosa dollens,Mimosa dolens,Mimosa dolens,
Mimosa dominarum,Mimosa dominarum,Mimosa dominarum,
Mimosa dormiens,Mimosa dormiens,Mimosa dormiens,
Mimosa dryandroides dryandroides,Mimosa dryandroides var. dryandroides,Mimosa dryandroides var. dryandroides,
Mimosa dryandroides extratropica,Mimosa dryandroides var. extratropica,Mimosa dryandroides var. extratropica,
Mimosa dryandroides,Mimosa dryandroides,Mimosa dryandroides,
Mimosa dutrae,Mimosa dutrae,Mimosa dutrae,
Mimosa echinocarpa,Mimosa echinocarpa,Mimosa echinocarpa,
Mimosa echinocaula,Mimosa echinocaula,Mimosa echinocaula,
Mimosa elliptica,Mimosa elliptica,Mimosa elliptica,
Mimosa eriocarpa,Mimosa eriocarpa,Mimosa eriocarpa,
Mimosa eriocaulis,Mimosa eriocaulis,Mimosa eriocaulis,
Mimosa eriorrhachis,Mimosa eriorrhachis,Mimosa eriorrhachis,
Mimosa ernestii,Mimosa ernestii,Mimosa ernestii,
Mimosa eurystegia,Mimosa eurystegia,Mimosa eurystegia,
Mimosa exalbescens,Mimosa exalbescens,Mimosa exalbescens,
Mimosa extensa annae,Mimosa extensa var. annae,Mimosa extensa var. annae,
Mimosa extensa extensa,Mimosa extensa var. extensa,Mimosa extensa var. extensa,
Mimosa extensa,Mimosa extensa,Mimosa extensa,
Mimosa falcipinna,Mimosa falcipinna,Mimosa falcipinna,
Mimosa fiebrigii,Mimosa fiebrigii,Mimosa fiebrigii,
Mimosa filiformis leptocaulis,NA,,no reference for this name; check this further
